sample_id,channel_id,channel_index,raw_channel_index,channel_role,sampling_rate_hz,duration_seconds,unique_value_count,minimum_stored_unit,maximum_stored_unit,standard_deviation_stored_unit,transition_rate,median_run_samples,dc_lsb_multiple_rate
train_000160,POL DC07,42,42,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,165.3870419730634,0.2933441112009267,2.0,1.0
train_000160,POL DC08,43,43,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,181.44580233503257,0.3438361986349886,2.0,1.0
train_000160,POL DC09,44,44,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,42.295134462950045,0.024016866807223394,2.0,1.0
train_000160,POL DC10,45,45,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,181.55225356582758,0.33919449328744405,2.0,1.0
train_000160,POL DC11,46,46,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,163.2692864008023,0.289494079117326,2.0,1.0
train_000160,POL DC12,47,47,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,176.27575989685187,0.3259943832865274,2.0,1.0
train_000160,POL DC13,48,48,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,52.07415232131036,0.0355836298635822,2.0,1.0
train_000160,POL DC14,49,49,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,33.15215255126658,0.014883457362144685,2.0,1.0
train_000160,POL DC15,50,50,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0001500000071246177,179.08310456677938,0.33824448537071145,2.0,1.0
train_000160,POL DC16,51,51,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,111.6551528794156,0.14381786514887623,2.0,1.0
train_000160,POL AC1,147,147,seeg_ac_candidate,2000.0,60.0,3061,-129.1991424560547,223.82810974121094,50.084365976910654,0.9739664497204144,1.0,0.004900359359686377
train_000160,POL AC2,148,148,seeg_ac_candidate,2000.0,60.0,2585,-100.09742736816406,176.46481323242188,38.33338321934711,0.9723497695814132,1.0,0.005802707930367505
train_000160,POL AC3,149,149,seeg_ac_candidate,2000.0,60.0,2746,-111.22991943359375,194.0430145263672,40.88201668946497,0.9750747922899358,1.0,0.005462490895848507
train_000160,POL AC4,150,150,seeg_ac_candidate,2000.0,60.0,2479,-105.27327728271484,162.69532775878906,36.04163214242037,0.9686164051367094,1.0,0.0060508269463493344
train_000160,POL AC5,151,151,seeg_ac_candidate,2000.0,60.0,2483,-96.97212219238281,175.00006103515625,35.16062914835488,0.9696497470812256,1.0,0.006041079339508659
train_000160,POL AC6,152,152,seeg_ac_candidate,2000.0,60.0,2252,-98.43738555908203,141.01564025878906,33.37779941233664,0.9647913732614438,1.0,0.0066607460035523975
train_000160,POL AC7,153,153,seeg_ac_candidate,2000.0,60.0,2279,-107.71412658691406,136.816650390625,32.66173978796133,0.9657247143726198,1.0,0.006581834137779728
train_000160,POL AC8,154,154,seeg_ac_candidate,2000.0,60.0,2277,-111.42538452148438,132.61732482910156,33.93093943595561,0.9657080475670631,1.0,0.006587615283267457
train_000160,POL AC9,155,155,seeg_ac_candidate,2000.0,60.0,2237,-93.65188598632812,151.46498107910156,32.986501716936885,0.9649497079142326,1.0,0.006705409029950827
train_000160,POL AC10,156,156,seeg_ac_candidate,2000.0,60.0,2255,-86.13261413574219,158.59376525878906,31.672779839621263,0.964349702914191,1.0,0.0066518847006651885
train_000160,POL AC11,157,157,seeg_ac_candidate,2000.0,60.0,2184,-84.0815658569336,147.1681365966797,33.07802487536139,0.9638496987474896,1.0,0.006868131868131868
train_000160,POL AC12,158,158,seeg_ac_candidate,2000.0,60.0,2472,-115.72227478027344,150.19541931152344,38.46020042421059,0.9657913815948467,1.0,0.006067961165048544
train_000160,POL AC13,159,159,seeg_ac_candidate,2000.0,60.0,2599,-133.5929718017578,165.52764892578125,38.25595414237002,0.9683164026366886,1.0,0.005771450557906887
train_000160,POL AC14,160,160,seeg_ac_candidate,2000.0,60.0,2831,-154.19888305664062,167.28526306152344,42.29174017306544,0.9709330911090925,1.0,0.005298481102084069
train_000160,POL AC15,161,161,seeg_ac_candidate,2000.0,60.0,2238,-118.55416107177734,129.78536987304688,32.12663477184543,0.967508062567188,1.0,0.006702412868632708
train_000160,POL AC16,162,162,seeg_ac_candidate,2000.0,60.0,1251,-45.507354736328125,83.69157409667969,18.875134769890014,0.9623496862473854,1.0,0.011990407673860911
train_000171,POL DC01,36,36,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,86.27644800908337,0.0920591004925041,2.0,1.0
train_000171,POL DC02,37,37,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,115.55006834655123,0.15401795014958458,2.0,1.0
train_000171,POL DC03,38,38,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,41.88515918362685,0.02331686097384145,2.0,1.0
train_000171,POL DC04,39,39,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,91.4356381032265,0.1007341727847732,2.0,1.0
train_000171,POL DC05,40,40,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,38.93751827032704,0.02041683680697339,2.0,1.0
train_000171,POL DC06,41,41,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,177.10651244188807,0.3309527579396495,2.0,1.0
train_000171,POL DC07,42,42,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,171.56544521107674,0.3115442628688572,2.0,1.0
train_000171,POL DC08,43,43,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,177.08397244331786,0.32880274002283355,2.0,1.0
train_000171,POL DC09,44,44,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,40.74586346138963,0.022583521529346076,2.0,1.0
